,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
3615,0.2,A,40.90861111,-123.61527778,6,20060917,20060917,6023.0,20060917,150,111,133,0,0,0
3616,1.0,B,40.032119,-124.047669,6,20070401,20070401,6023.0,20070401,150,111,133,0,0,0
3617,903.0,E,40.3994,-123.9494,6,20080621,20080718,6023.0,20080621,150,111,133,0,0,0
3618,0.1,A,40.407219,-124.389439,6,20070714,20070714,6023.0,20070714,150,111,133,0,0,0
3619,0.3,B,41.208308,-123.755389,6,20060813,20060814,6023.0,20060813,150,111,133,0,0,0
3620,2.0,B,40.2265,-124.0145,6,20030903,20030906,6023.0,20030903,283,67,178,5,0,0
3621,0.1,A,41.057869,-124.125489,6,20070830,20070830,6023.0,20070830,150,111,133,0,0,0
3622,3.0,B,40.0132,-124.0145,6,20030905,20030916,6023.0,20030905,172,122,150,5,0,0
3623,0.8,B,40.85527778,-123.60472222,6,20070727,20070727,6023.0,20070727,150,111,133,0,0,0
3624,0.1,A,40.158089,-124.071789,6,20040430,20040430,6023.0,20040430,194,56,128,0,0,0
3625,1.0,B,40.185,-124.087781,6,20070809,20070809,6023.0,20070809,150,111,133,0,0,0
3626,1.0,B,41.2128,-123.764881,6,20000704,20000705,6023.0,20000704,167,106,139,0,0,0
3627,0.1,A,41.065561,-124.149169,6,20070815,20070815,6023.0,20070815,150,111,133,0,0,0
3628,0.3,B,41.228278,-123.725486,6,20060801,20060801,6023.0,20060801,150,111,133,0,0,0
3629,1.0,B,41.052381,-124.125581,6,20000704,20000704,6023.0,20000704,167,106,139,0,0,0
3630,0.3,B,41.062883,-124.135167,6,20070711,20070711,6023.0,20070711,150,111,133,0,0,0
3631,0.1,A,40.1299,-124.1845,6,20030524,20030525,6023.0,20030524,172,111,144,3,0,0
3632,0.5,B,41.29194444,-123.57277778,6,20080716,20080716,6023.0,20080716,150,111,133,0,0,0
3633,0.1,A,41.118853,-124.156697,6,20070410,20070410,6023.0,20070410,150,111,133,0,0,0
3634,0.1,A,41.37944444,-123.4925,6,20080715,20080715,6023.0,20080715,150,111,133,0,0,0
3635,1.0,B,41.29,-123.57083333,6,20070527,20070528,6023.0,20070527,150,111,133,0,0,0
3636,0.01,A,41.25166667,-123.64277778,6,20070626,20070626,6023.0,20070626,150,111,133,0,0,0
3637,1.0,B,40.420761,-123.693581,6,20000829,20000829,6023.0,20000829,167,111,139,0,0,0
3638,0.1,A,41.065869,-124.145689,6,20030724,20030724,6023.0,20030724,172,106,139,0,0,0
3639,6.0,B,41.31666667,-123.52861111,6,20080715,20080717,6023.0,20080715,150,111,133,0,0,0
3640,0.5,B,40.058264,-123.971122,6,20060916,20060919,6023.0,20060916,150,111,133,0,0,0
